iter	Passed	Remaining
414	2822	3979
415	2829	3972
416	2835	3964
417	2841	3956
418	2847	3948
419	2853	3940
420	2859	3932
421	2865	3925
422	2873	3920
423	2879	3912
424	2886	3904
425	2892	3896
426	2898	3888
427	2903	3880
428	2909	3872
429	2915	3865
430	2921	3857
431	2927	3849
432	2933	3841
433	2939	3833
434	2945	3825
435	2951	3817
436	2957	3810
437	2963	3802
438	2969	3794
439	2975	3786
440	2981	3778
441	2987	3771
442	2993	3763
443	2999	3755
444	3005	3748
445	3011	3740
446	3018	3733
447	3023	3725
448	3029	3718
449	3035	3710
450	3041	3702
451	3048	3695
452	3055	3689
453	3061	3682
454	3067	3674
455	3074	3667
456	3080	3659
457	3086	3652
458	3092	3644
459	3098	3636
460	3103	3629
461	3109	3621
462	3115	3613
463	3121	3605
464	3127	3598
465	3133	3590
466	3139	3583
467	3145	3575
468	3151	3568
469	3157	3560
470	3163	3552
471	3169	3545
472	3175	3537
473	3181	3529
474	3186	3522
475	3192	3514
476	3198	3507
477	3204	3499
478	3210	3492
479	3216	3484
480	3223	3477
481	3229	3470
482	3235	3463
483	3241	3455
484	3247	3448
485	3253	3441
486	3259	3433
487	3265	3426
488	3271	3418
489	3277	3411
490	3283	3403
491	3289	3396
492	3295	3388
493	3300	3381
494	3307	3374
495	3313	3367
496	3319	3359
497	3325	3352
498	3331	3344
499	3337	3337
500	3343	3329
501	3349	3322
502	3355	3315
503	3361	3307
504	3366	3300
505	3372	3292
506	3378	3285
507	3384	3278
508	3390	3270
509	3396	3263
510	3402	3256
511	3408	3248
512	3414	3241
513	3420	3234
514	3426	3227
515	3432	3219
516	3438	3212
517	3448	3208
518	3454	3201
519	3460	3194
520	3466	3187
521	3473	3180
522	3478	3173
523	3484	3165
524	3490	3158
525	3496	3151
526	3502	3143
527	3508	3136
528	3514	3129
529	3521	3122
530	3527	3115
531	3533	3108
532	3539	3101
533	3545	3094
534	3552	3087
535	3558	3080
536	3564	3073
537	3571	3066
538	3576	3059
539	3582	3052
540	3592	3047
541	3599	3041
542	3605	3034
543	3611	3027
544	3617	3020
545	3623	3012
546	3629	3005
547	3635	2998
548	3641	2991
549	3647	2984
550	3653	2977
551	3659	2969
552	3665	2963
553	3671	2955
554	3677	2948
555	3683	2941
556	3689	2934
557	3696	2927
558	3702	2920
559	3707	2913
560	3714	2906
561	3720	2899
562	3725	2892
563	3732	2885
564	3738	2878
565	3745	2871
566	3751	2864
567	3757	2857
568	3763	2850
569	3769	2843
570	3775	2836
571	3782	2829
572	3787	2822
573	3793	2815
574	3800	2808
575	3806	2801
576	3812	2794
577	3818	2787
578	3824	2780
579	3830	2773
580	3836	2766
581	3842	2759
582	3848	2752
583	3854	2745
584	3861	2739
585	3867	2731
586	3872	2724
587	3878	2717
588	3884	2710
589	3890	2703
590	3896	2696
591	3902	2689
592	3908	2682
593	3915	2675
594	3921	2668
595	3927	2661
596	3933	2654
597	3938	2647
598	3944	2640
599	3952	2634
600	3959	2628
601	3965	2621
602	3971	2614
603	3977	2607
604	3983	2600
605	3989	2594
606	3995	2587
607	4002	2580
608	4008	2573
609	4014	2566
610	4020	2559
611	4026	2552
612	4032	2545
613	4038	2538
614	4044	2532
615	4050	2525
616	4056	2518
617	4062	2511
618	4068	2504
619	4074	2497
620	4080	2490
621	4086	2483
622	4092	2476
623	4098	2469
624	4104	2462
625	4110	2455
626	4117	2449
627	4123	2442
628	4129	2435
629	4135	2428
630	4141	2422
631	4147	2415
632	4153	2408
633	4159	2401
634	4166	2394
635	4172	2388
636	4178	2381
637	4184	2374
638	4190	2367
639	4196	2360
640	4202	2353
641	4208	2346
642	4214	2339
643	4220	2333
644	4226	2326
645	4232	2319
646	4238	2312
647	4244	2305
648	4250	2298
649	4256	2292
650	4262	2285
651	4268	2278
652	4274	2271
653	4280	2264
654	4286	2257
655	4292	2251
656	4298	2244
657	4304	2237
658	4310	2230
659	4317	2223
660	4323	2217
661	4329	2210
662	4335	2203
663	4341	2196
664	4347	2189
665	4352	2183
666	4358	2176
667	4364	2169
668	4370	2162
669	4376	2155
670	4382	2148
671	4389	2142
672	4395	2135
673	4401	2128
674	4407	2122
675	4413	2115
676	4419	2108
677	4425	2101
678	4431	2095
679	4437	2088
680	4443	2081
681	4449	2074
682	4455	2067
683	4461	2061
684	4467	2054
685	4473	2047
686	4479	2040
687	4485	2034
688	4491	2027
689	4497	2020
690	4503	2013
691	4509	2006
692	4515	2000
693	4521	1993
694	4526	1986
695	4533	1979
696	4539	1973
697	4544	1966
698	4551	1959
699	4557	1953
700	4563	1946
701	4569	1939
702	4575	1933
703	4581	1926
704	4587	1919
705	4593	1912
706	4599	1906
707	4605	1899
708	4611	1892
709	4617	1885
710	4623	1879
711	4629	1872
712	4635	1865
713	4641	1859
714	4647	1852
715	4653	1845
716	4659	1839
717	4665	1832
718	4671	1825
719	4677	1818
720	4683	1812
721	4689	1805
722	4695	1798
723	4701	1792
724	4708	1786
725	4714	1779
726	4720	1772
727	4726	1766
728	4732	1759
729	4738	1752
730	4744	1745
731	4750	1739
732	4756	1732
733	4762	1725
734	4768	1719
735	4774	1712
736	4780	1706
737	4786	1699
738	4792	1692
739	4798	1686
740	4804	1679
741	4810	1672
742	4816	1666
743	4822	1659
744	4828	1652
745	4834	1646
746	4840	1639
747	4846	1632
748	4852	1626
749	4858	1619
750	4864	1612
751	4870	1606
752	4876	1599
753	4882	1592
754	4888	1586
755	4894	1579
756	4900	1572
757	4906	1566
758	4911	1559
759	4917	1552
760	4923	1546
761	4929	1539
762	4935	1533
763	4941	1526
764	4947	1519
765	4953	1513
766	4959	1506
767	4965	1499
768	4971	1493
769	4977	1486
770	4983	1480
771	4989	1473
772	4995	1466
773	5001	1460
774	5007	1453
775	5013	1447
776	5019	1440
777	5025	1433
778	5031	1427
779	5037	1420
780	5043	1414
781	5049	1407
782	5055	1401
783	5061	1394
784	5067	1387
785	5073	1381
786	5079	1374
787	5085	1368
788	5090	1361
789	5096	1354
790	5103	1348
791	5108	1341
792	5114	1335
793	5120	1328
794	5126	1322
795	5132	1315
796	5139	1308
797	5144	1302
798	5151	1295
799	5156	1289
800	5162	1282
801	5168	1276
802	5174	1269
803	5180	1262
804	5186	1256
805	5192	1249
806	5198	1243
807	5204	1236
808	5210	1230
809	5216	1223
810	5222	1217
811	5228	1210
812	5234	1204
813	5240	1197
814	5246	1190
815	5253	1184
816	5259	1178
817	5265	1171
818	5270	1164
819	5276	1158
820	5282	1151
821	5289	1145
822	5295	1138
823	5301	1132
824	5307	1125
825	5313	1119
826	5319	1112
827	5325	1106
828	5331	1099
829	5337	1093
830	5343	1086
831	5350	1080
832	5357	1074
833	5363	1067
834	5369	1061
835	5375	1054
836	5381	1047
837	5387	1041
838	5394	1035
839	5399	1028
840	5406	1022
841	5412	1015
842	5418	1009
843	5423	1002
844	5429	996
845	5436	989
846	5442	983
847	5447	976
848	5453	970
849	5459	963
850	5466	957
851	5471	950
852	5477	944
853	5483	937
854	5489	930
855	5495	924
856	5501	918
857	5507	911
858	5513	905
859	5520	898
860	5526	892
861	5532	885
862	5538	879
863	5545	872
864	5553	866
