iter	F1	Logloss
0	0.9783169357	0.6287147609
1	0.9759558158	0.5808367638
2	0.9785973629	0.5297903339
3	0.9763520754	0.4916186293
4	0.9790183052	0.449073442
5	0.9781377679	0.4141310726
6	0.9781388126	0.3851667442
7	0.9779550503	0.3597042385
8	0.9786837897	0.3351286937
9	0.9785456889	0.3179360219
10	0.9785000119	0.3025249521
11	0.9784766632	0.2873940088
12	0.9781732306	0.2735531963
13	0.9786868422	0.2589661377
14	0.9785934181	0.248119451
15	0.9787559078	0.2355134293
16	0.9786858248	0.225675084
17	0.9786868422	0.2176714876
18	0.978710201	0.210234994
19	0.9786167725	0.2045890026
20	0.9786868422	0.1981064483
21	0.978780284	0.1911842085
22	0.9787335609	0.1868416467
23	0.978780284	0.1821799039
24	0.9789438503	0.176913218
25	0.9787569219	0.1737662331
26	0.9789895903	0.1693150173
27	0.9791298534	0.1650487694
28	0.9792701567	0.1610687207
29	0.9792935445	0.1578075171
30	0.9793871068	0.1559661863
31	0.9793871068	0.1541248702
32	0.979480687	0.1528501743
33	0.979480687	0.1511988383
34	0.9795508839	0.1489423416
35	0.9796669295	0.1464456358
36	0.9797830139	0.1447892405
37	0.98004159	0.1428282281
38	0.9800181653	0.1411576021
39	0.9799937854	0.1396106112
40	0.9800874907	0.1381751103
41	0.9802749552	0.1365811281
42	0.9802983933	0.1353141669
43	0.9802740119	0.1340916624
44	0.9803452728	0.1331737005
45	0.9802983933	0.1324521039
46	0.9803208914	0.1319197782
47	0.9803677754	0.1313328722
48	0.9804615569	0.1303250139
49	0.9805788089	0.1296679196
50	0.9805797379	0.1290937072
51	0.9805328359	0.1285773927
52	0.9806022627	0.127879375
53	0.980696089	0.1271194024
54	0.9806970125	0.1265199819
55	0.9807430089	0.1261141623
56	0.9808133971	0.1255771757
57	0.9808847102	0.1252217305
58	0.9808847102	0.1246216528
59	0.980978586	0.1241076758
60	0.9810490046	0.1236213821
61	0.981095956	0.1231128683
62	0.9811645885	0.1226649497
63	0.9812368371	0.122440644
64	0.9812368371	0.1222400621
65	0.9811880714	0.1216473893
66	0.981258527	0.1211629787
67	0.981258527	0.1209371297
68	0.9812820145	0.1204658769
69	0.981258527	0.1202090882
70	0.9814021398	0.1199401322
